name,x,y,z,is_clock,is_input,is_output,iob,real_io_assoc
B16,186,17,0,1,1,1,IOB_X1Y134,True
B17,186,18,0,1,1,1,IOB_X1Y133,True
B19,186,28,0,1,1,1,IOB_X1Y124,True
B20,186,29,0,1,1,1,IOB_X1Y123,True
B21,186,38,0,1,1,1,IOB_X1Y114,True
B22,186,39,0,1,1,1,IOB_X1Y113,True
C15,186,15,0,1,1,1,IOB_X1Y136,True
C17,186,23,0,1,1,1,IOB_X1Y128,True
C18,186,24,0,1,1,1,IOB_X1Y127,True
C19,186,26,0,1,1,1,IOB_X1Y125,True
C20,186,31,0,1,1,1,IOB_X1Y121,True
C22,186,35,0,1,1,1,IOB_X1Y117,True
D15,186,8,0,1,1,1,IOB_X1Y143,True
D16,186,5,0,1,1,1,IOB_X1Y146,True
D17,186,6,0,1,1,1,IOB_X1Y145,True
D18,186,25,0,1,1,1,IOB_X1Y126,True
D20,186,30,0,1,1,1,IOB_X1Y122,True
D21,186,37,0,1,1,1,IOB_X1Y115,True
D22,186,34,0,1,1,1,IOB_X1Y118,True
E15,186,7,0,1,1,1,IOB_X1Y144,True
E16,186,4,0,1,1,1,IOB_X1Y147,True
E18,186,12,0,1,1,1,IOB_X1Y139,True
E19,186,44,0,1,1,1,IOB_X1Y108,True
E20,186,45,0,1,1,1,IOB_X1Y107,True
E21,186,36,0,1,1,1,IOB_X1Y116,True
F16,186,3,0,1,1,1,IOB_X1Y148,True
F17,186,14,0,1,1,1,IOB_X1Y137,True
F18,186,11,0,1,1,1,IOB_X1Y140,True
F19,186,43,0,1,1,1,IOB_X1Y109,True
F21,186,48,0,1,1,1,IOB_X1Y104,True
F22,186,49,0,1,1,1,IOB_X1Y103,True
G15,186,9,0,1,1,1,IOB_X1Y142,True
G16,186,10,0,1,1,1,IOB_X1Y141,True
G17,186,13,0,1,1,1,IOB_X1Y138,True
G19,186,42,0,1,1,1,IOB_X1Y110,True
G20,186,46,0,1,1,1,IOB_X1Y106,True
G21,186,47,0,1,1,1,IOB_X1Y105,True
G22,186,51,0,1,1,1,IOB_X1Y101,True
H15,186,55,0,1,1,1,IOB_X1Y99,True
H17,186,2,0,1,1,1,IOB_X1Y149,True
H18,186,53,0,1,1,1,IOB_X1Y100,True
H19,186,40,0,1,1,1,IOB_X1Y112,True
H20,186,41,0,1,1,1,IOB_X1Y111,True
